Museum Name,Museum Type,Latitude,Longitude,Income,Revenue,State
ALABAMA WOMEN'S HALL OF FAME,GENERAL MUSEUM,32.63066,-87.31662,0.0,0.0,AL
ALABAMA ZOOLOGICAL SOCIETY,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",33.48437,-86.77398,0.0,0.0,AL
ALBERTVILLE MUSEUM,GENERAL MUSEUM,34.26948,-86.21514,0.0,0.0,AL
ALDRICH COAL MINE MUSEUM,GENERAL MUSEUM,33.10796,-86.89296,0.0,0.0,AL
ALDRIDGE GARDENS,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",33.38533,-86.79432,538889.0,538889.0,AL
ALFRED HATCH PLACE AT ARCOLA,HISTORIC PRESERVATION,32.44977,-87.75734,0.0,0.0,AL
ALICEVILLE HISTORICAL PRESERVATION COMMISSION,HISTORIC PRESERVATION,33.13138,-88.13725,0.0,0.0,AL
ALICEVILLE MUSEUM,HISTORY MUSEUM,33.12964,-88.16462,72827.0,72827.0,AL
ALTAMONT SCHOOL,ART MUSEUM,33.51706,-86.75704,6812202.0,6772233.0,AL
ALTAR OF THE NEW TESTAMENT AND FOUNDERS HALL,HISTORIC PRESERVATION,34.80598,-86.96746,0.0,0.0,AL
AMERICAN INDIAN MUSEUM,NATURAL HISTORY MUSEUM,34.75987,-86.59152,0.0,0.0,AL
AMERICAN SPORT ART MUSEUM AND ARCHIVES,ART MUSEUM,30.63977,-87.9091,0.0,0.0,AL
AMERICAN VILLAGE,HISTORIC PRESERVATION,33.10622,-86.85865,0.0,0.0,AL
ANCIENT AFRICA ENSLAVEMENT AND CIVIL WAR MUSEUM,HISTORY MUSEUM,32.40797,-87.01614,0.0,0.0,AL
ANIMAL HOUSE EXOTIC ANIMALS & OSTRICH FARM,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",34.53421,-87.38741,0.0,0.0,AL
ANNISTON SOIL PIPE MUSEUM,GENERAL MUSEUM,33.65864,-85.85943,0.0,0.0,AL
ARAB HISTORICAL SOCIETY,HISTORIC PRESERVATION,34.32768,-86.49274,0.0,0.0,AL
ARLINGTON ANTEBELLUM HOME & GARDENS,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",33.50088,-86.83857,0.0,0.0,AL
ARLINGTON HISTORICAL ASSOCIATION,HISTORIC PRESERVATION,33.50743,-86.747,0.0,0.0,AL
ARMY AVIATION MUSEUM,GENERAL MUSEUM,31.34936,-85.71978,0.0,0.0,AL
ART GALLERIES AT UAH,ART MUSEUM,34.74054,-86.62928,0.0,0.0,AL
ART GALLERY,ART MUSEUM,33.10622,-86.85865,0.0,0.0,AL
ARTSREVIVE,HISTORIC PRESERVATION,32.40623,-87.02243,206923.0,206923.0,AL
ASHVILLE MASONIC LODGE COUNCIL,HISTORIC PRESERVATION,33.79484,-86.27299,0.0,0.0,AL
ATCHISON COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,39.56301,-95.12723,43103.0,43103.0,KS
